Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average
1890,6,3.3,6.35,7.45,11.8,14.35,15.25,15.1,15.05,9.85,6.1,2.1,9.391666667
1891,3.1,4.55,4.4,6.7,9.85,15.15,15,14.45,14.2,9.9,5.8,4.45,8.9625
1892,2.55,3.65,3.9,8,12,13.95,14.6,15.95,12.9,7.55,6.6,2.65,8.691666667
1893,2.35,5.25,7.7,10.95,13.55,16,17.05,18.1,13.75,10.45,4.95,4.55,10.3875
1894,3.65,5.4,7,10.05,9.7,14.05,16.3,14.8,12.15,9.7,8,5.15,9.6625
1895,2.45,3.55,6,9.05,13.15,15.6,16.3,16.3,16.15,7.75,8.25,4.35,9.908333333
1896,4.8,4.7,7.85,9.7,12.4,16.95,17.45,15.1,13.85,8,4.7,4.2,9.975
1897,2.05,6.45,7.35,7.85,10.7,15.9,17.35,16.5,12.8,10.25,7.25,4.75,9.933333333
1898,6.4,5.25,4.55,8.65,10.8,14.15,16.2,17.45,16.1,11.5,7.55,7.6,10.51666667
1899,5.7,5.8,5.5,8.65,10.8,16.15,18.55,18.6,14.45,9.4,8.35,2.6,10.37916667
1900,4.65,3.35,4.05,8.8,10.75,15.05,18.85,15.95,14.4,10.45,7.85,7.6,10.14583333
1901,3.5,2.5,4.4,9.15,11.8,14.6,18.5,16.45,14.25,10.15,4.9,3.65,9.4875
1902,5.2,2.6,7.4,8.1,9.6,14.15,15.75,15.35,13.25,9.9,7.05,4.75,9.425
1903,4.65,7.5,7.7,6.8,11.7,13.2,16.3,14.85,13.75,11.25,6.75,3.65,9.841666667
1904,4.1,3.95,4.95,9.6,11.5,14,18.1,15.8,12.6,9.9,5.25,4,9.479166667
1905,3.35,5.8,7.5,8,11.4,15.2,18.35,15.55,13.1,7.6,5.25,4.6,9.641666667
1906,5.75,3.65,5.7,7.95,11.35,14.75,16.9,18,14.9,11.6,7.6,3.4,10.12916667
1907,3.7,3.3,6.95,8.35,11.6,13.15,14.8,15.15,14.35,10.35,7.2,5.4,9.525
1908,2.95,5.65,4.9,6.4,13.3,15.15,16.85,15.35,13.2,12.1,8.05,4.05,9.829166667
1909,3.65,3.55,4.15,9.3,11.35,12.45,15.65,16.45,12.6,11.1,5.3,4.6,9.179166667
1910,4.15,5.7,6.25,8,11.9,15.6,14.7,15.75,13.1,11.35,3.65,6.75,9.741666667
1911,3.8,5.2,5.6,8.2,13.5,15.3,19.6,19.45,15.4,10.05,6.45,6.85,10.78333333
1912,4.25,6.25,7.9,9.25,13.15,14.4,16.8,13.55,11.45,8.6,6.65,7.55,9.983333333
1913,5.3,4.85,6.85,8.45,12.4,14.95,15.5,16.05,14.7,11.75,8.8,5.15,10.39583333
1914,3.6,7.1,6.7,10.3,11.5,15.4,16.55,16.95,13.9,10.9,7.1,5.3,10.44166667
1915,4.35,4.9,5.55,8.2,11.75,15.05,15.5,16.5,13.7,9.5,3.5,6.25,9.5625
1916,7.7,3.8,3.8,9.1,12.45,12,15.95,17.2,13.3,11.4,6.6,2.35,9.6375
1917,1.65,2.85,3.45,6.15,13.85,16.1,16.5,15.85,14.75,8.1,7.95,2.7,9.158333333
1918,3.85,6.55,6.5,7.05,13.55,13.7,16.25,16.55,12.55,9.5,5.65,7.45,9.929166667
1919,2.9,2.65,4.25,7.55,13.65,15.05,14.45,17.2,13.35,7.2,3.55,5.9,8.975
1920,5.7,6.3,7.9,8.95,12.45,14.85,14.6,13.85,13.7,10.55,6.6,4.5,9.995833333
1921,7.55,5,7.95,9.05,12.2,15.45,19.7,16.5,14.95,13.55,4.85,6.5,11.10416667
1922,4.2,4.85,5.15,6.15,14,14.6,14.45,14.1,12.85,8.45,5.65,6.15,9.216666667
1923,5.3,6.25,6.7,8.25,10.35,13.05,18.45,16.25,13.25,10.35,3.4,4.2,9.65
1924,5.35,3.35,4.9,8.1,12.45,14.75,15.8,14.65,13.95,10.7,7.45,6.7,9.845833333
1925,5.35,5.75,5.2,7.9,12.3,15.7,17.4,16.05,12.05,11.05,4.55,3.2,9.708333333
1926,4.5,7.45,6.95,9.65,10.85,14.1,17.25,16.85,15.3,8.55,6.8,4.1,10.19583333
1927,4.8,4.15,7.95,8.8,12.25,13.35,16.1,16.15,13,10.9,6.5,2.15,9.675
1928,5.6,6.25,7,8.75,11.45,13.85,17.85,15.95,13.55,10.8,8.05,3.5,10.21666667
1929,2.4,3.15,6.5,7.15,11.75,13.9,16.95,16.4,16.95,10.2,7.15,6.3,9.9
1930,6.2,2.85,5.8,8.75,11.3,15.95,15.9,16.6,14.25,11.05,6.5,4.45,9.966666667
1931,3.65,4.35,4.75,8.25,11.95,15.25,15.85,15.15,12,9.3,8.05,5.3,9.4875
1932,6.45,3.1,5,7.55,11.15,14.35,16.65,18.25,13.7,9.5,6.8,5.85,9.8625
1933,3,4.65,8.1,9.45,12.9,16,18.75,18.65,15.65,10.35,5.8,2.1,10.45
1934,4.05,4,5.45,8.6,12.25,15.85,19.1,16.25,15.45,11.05,6.6,8.2,10.57083333
1935,4.9,6.1,6.95,8.5,10.25,15.6,18.3,17.75,14.45,10.05,7.35,3.25,10.2875
1936,4.45,3.25,7.55,6.8,11.95,15.3,15.8,16.95,15,9.5,5.6,5.35,9.791666667
1937,5.45,6.5,4.25,9.65,12.85,15,16.9,18.05,14.2,11,5.1,3.35,10.19166667
1938,6.1,5.1,9.9,7.75,11.2,15.55,16.35,17.25,14.55,10.9,9.9,4.35,10.74166667
1939,4.85,6.15,6.2,9.5,11.8,14.6,15.95,16.95,15.05,8.85,9.4,3.1,10.2
1940,3.25,2.9,6.65,9.45,13.2,16.85,15.8,16.6,13.9,9.95,7.3,3.7,9.9625
1941,2.1,4.3,5.4,7.15,9.55,15.95,18.35,15.3,14.7,10.55,7.1,5.5,9.6625
1942,2.75,2.7,5.65,9.7,11.8,15.5,16.35,17.3,14.3,10.95,5.15,7.05,9.933333333
1943,5.6,6.1,6.95,11.55,12.95,15.2,17.45,17.1,14,10.9,6.35,3.5,10.6375
1944,6.1,3.65,5.75,10.95,12.4,14.3,17.3,18.1,13.25,9.9,6.7,3.4,10.15
1945,2.6,7.8,8.5,10.85,13.1,15.25,17.45,16.5,15.05,12.25,7.2,5.3,10.9875
1946,3,6.7,5.45,10.55,10.95,13.8,17.5,15.75,14.7,10.4,8.45,3.15,10.03333333
1947,2.75,2.3,4.5,9.5,14.1,16.45,18.1,19.45,15.9,10.7,7.75,5.45,10.57916667
1948,6.15,5.05,8.75,9.6,12,14.2,16.6,16,14.9,10.35,7.35,6.25,10.6
1949,5.85,5.95,5.35,10.8,11.65,15.95,18.75,17.75,17.25,12.35,6.65,6.2,11.20833333
1950,4.2,6.15,7.9,8.35,11.55,16.95,16.65,16.5,13.65,10,6.35,2.2,10.0375
1951,4.55,4.15,4.8,7.45,10.5,14.55,17.2,15.8,14.75,9.4,8.95,6,9.841666667
1952,3.15,3.6,7.2,10.3,14.3,15.5,17.95,16.85,11.45,9.25,4.15,3.3,9.75
1953,3.1,4.2,5.55,8,13.05,14.6,16.05,16.95,14.3,10.25,8.6,7.25,10.15833333
1954,2.95,3.35,6.5,7.8,11.55,14.1,14.95,15.25,13.5,12.55,7.35,7,9.7375
1955,2.85,2.8,3.95,10.1,10.3,14.7,18.15,18.95,14.7,9.65,7.05,5.8,9.916666667
1956,3.85,3,6.5,7.4,12.65,13.75,16.7,14.5,14.75,9.7,6,5.85,9.554166667
1957,5.8,6.15,9.75,9.3,10.8,16.15,17.45,16.25,13.3,11.5,6.25,4.5,10.6
1958,3.8,5.65,4.35,7.85,12.15,14.9,16.55,16.45,15.55,11.25,6.75,5.05,10.025
1959,2.75,4.2,7.75,10.25,13,15.95,18.35,18.15,15.6,12.55,7.15,6.3,11
1960,4.05,4.7,6.85,9.4,13.3,16.85,15.75,15.7,13.8,10.85,7.75,4.4,10.28333333
1961,4.2,7.6,8.65,10.7,11.75,15.55,16.5,16.55,15.95,11.25,6.15,2.8,10.6375
1962,4.55,4.55,4,8.25,10.9,14.55,16,15.5,13.25,10.8,5.55,2.9,9.233333333
1963,3,2.4,6.45,9.45,11.25,15.45,15.9,14.95,13.65,11.6,8.85,2.45,9.616666667
1964,3.35,4.95,4.65,9.15,13.95,14.65,17.35,16.75,15.1,9.1,7.75,3.75,10.04166667
1965,3.8,3.05,5.95,8.8,12.35,14.95,14.75,15.55,13,11.1,4.95,5.25,9.458333333
1966,2.9,6.8,6.95,8.05,11.75,16.05,15.75,15.5,14.4,11.05,5.6,6.05,10.07083333
1967,4.9,5.9,7.65,8.35,11.55,14.7,17.9,16.5,14.3,11.5,5.95,4.55,10.3125
1968,4.65,2.4,7.2,8.7,10.6,15.65,15.85,15.85,14.55,13.2,6.75,3.1,9.875
1969,6.1,2.55,4.2,8.4,12.35,14.7,18.15,17.25,14.25,13.3,6.1,3.6,10.07916667
1970,4.25,3.6,4.1,7.55,13.75,17,16.15,16.6,15.3,11.2,8.5,4.25,10.1875
1971,4.85,4.7,5.45,8.15,12.35,13.05,18.15,16.5,14.65,11.6,6.4,6.65,10.20833333
1972,4.2,4.75,7.3,8.8,11.25,12.7,16.4,16.15,12.4,11.1,6.65,6.1,9.816666667
1973,4.45,4.5,6.55,8.15,12.15,15.9,16.5,17.65,15.35,9.15,6.5,5.3,10.17916667
1974,6.45,5.9,5.85,8.4,11.45,14.6,16.15,15.95,12.8,7.95,7.55,8.25,10.10833333
1975,7.2,4.85,5.15,9.05,10.35,15.45,18.6,19.6,14.3,10.35,6.15,4.6,10.47083333
1976,5.95,4.9,5.35,8.5,13.05,18.5,19.55,17.9,14.3,11.2,6.3,2.5,10.66666667
1977,3.05,6.1,7.4,7.7,10.9,12.6,16.5,15.95,13.95,11.85,6.7,6.4,9.925
1978,3.45,2.95,7.05,6.75,12.05,14.35,15.75,15.8,14.85,12.15,8.55,4.65,9.8625
1979,3.15,2.35,5.25,8.55,11,14.85,17.75,16,14.1,11.75,7.2,6.35,9.858333333
1980,2.8,6.35,5.4,9.3,11.45,14.85,15.45,17,15.7,9.5,6.75,5.7,10.02083333
1981,4.85,3.2,8.75,8.2,11.95,14.25,16.8,17.45,15.4,9,7.85,2.8,10.04166667
1982,2.8,5.3,6.6,9.35,12.35,17,17.4,17.05,15.35,10.7,8.45,4.8,10.59583333
1983,7.25,2.75,6.8,7.75,11.3,15.3,21.1,18.4,14.55,11,7.8,5.95,10.82916667
1984,4.5,3.7,5.3,8.65,10.25,15.8,18.05,18.6,14.55,11.8,8.65,5.5,10.44583333
1985,2.9,3.15,5.15,9.1,11.5,13.25,17.15,15.55,15.3,11.2,4.55,7.25,9.670833333
1986,3.9,2.55,5.65,6.65,11.85,15.55,17.15,14.7,12.05,11.55,8.4,6.5,9.708333333
1987,2.2,4.05,4.85,10.9,10.85,14.1,16.95,16.75,14.75,10.35,6.65,5.85,9.854166667
1988,5.7,5.2,7,8.6,12.45,14.5,15.25,16.15,14.15,11.25,5.35,7.75,10.27916667
1989,6.35,6.45,8.3,7.3,14.15,15.65,19.45,17.9,15.9,12.4,6.5,5.75,11.34166667
1990,7.25,8.3,8.85,8.5,13.5,14.45,18,19.35,14.05,12.55,7.05,4.3,11.34583333
1991,3.8,3.15,8.3,8.4,11.35,12.9,17.95,18.25,15.4,10.35,7.2,4.3,10.1125
1992,3.7,5.5,7.9,9.4,14.4,16.55,17.3,16.55,14.2,8.2,7.8,3.85,10.44583333
1993,6.55,4.75,7.45,9.9,12.3,16.1,16.55,15.8,13,8.95,5.3,6.05,10.225
1994,5.9,4,8.5,8.8,11.45,15.8,19.3,17.05,13.5,10.5,10.55,6.75,11.00833333
1995,5.35,7.4,6.25,9.85,12.8,15.2,19.5,20.15,14.3,13.8,8.25,2.4,11.27083333
1996,4.85,3.15,5.1,9.3,9.85,15.7,18,17.45,14.35,12.2,6.25,3.2,9.95
1997,2.65,7.3,9.4,9.7,12.4,15.1,17.85,20.3,15.2,10.75,8.9,6.3,11.32083333
1998,5.6,7.8,8.6,8.5,13.9,15.3,16.7,17.15,15.7,11.3,5.75,6.3,11.05
1999,6.2,5.75,8.2,10.2,13.95,14.9,18.75,17.25,16.6,11.1,8.05,5,11.32916667
2000,5.05,7,7.95,8.6,12.9,16.35,16.55,18,15.65,11.25,7.7,6.4,11.11666667
2001,3.8,5.4,6.05,8.85,13.2,15.65,18.4,17.8,14.2,14.05,7.55,3.5,10.70416667
2002,6.3,7.75,8.5,10.2,12.6,15.15,17.05,17.85,14.85,10.95,9.1,6.5,11.4
2003,4.7,4.5,8,9.95,12.8,17.1,18.55,19.5,14.7,8.95,8.85,5.25,11.07083333
2004,5.75,5.8,7.15,10.45,13.3,16.9,17.1,18.8,15.9,11.65,8.35,5.7,11.40416667
2005,6.6,4.7,7.95,10,12.4,16.8,17.85,17.65,16.4,14,6.5,4.75,11.3
2006,4.7,3.7,5.6,9.65,13.3,17.4,21,17.45,17.8,13.9,8.6,6.85,11.6625
2007,7.6,6.7,7.85,11.7,12.3,15.9,16.4,16.85,14.75,11.5,7.8,5.35,11.225
2008,7.5,6.1,7.05,8.9,14.1,15.6,17.4,17.35,14,10.15,7.45,4.1,10.80833333
2009,3.25,4.95,7.8,10.85,13.25,16.35,17.75,18,15.4,12.3,9.75,3.8,11.12083333
2010,2.85,4.2,7.25,10.35,12.45,17.05,19.05,16.75,14.55,10.95,5.55,2.45,10.2875
2011,4.45,7.4,7.8,13.35,13.65,14.75,15.8,16.05,15.7,13.35,9.9,6.2,11.53333333
2012,6.7,4.25,8.8,8.6,13.7,15.25,16.55,17.7,13.8,10.25,7.15,5.6,10.69583333
2013,4.15,3.55,3.25,8.4,11.3,14.75,19.7,18.1,14.45,13.1,6.85,6.8,10.36666667
2014,6.4,6.95,8.15,10.7,13,16.65,19.2,16.25,16.25,13.35,8.6,5.55,11.75416667
2015,5,4.25,7.35,10.2,12.25,15.65,17.55,17.15,13.65,11.5,10.2,10.85,11.3
2016,6.2,5.9,6.2,8.45,13.55,15.95,18.55,18.55,16.95,11.2,6.35,6.3,11.17916667
